JUGADORJUGADOR,EQUIPOEQUIPO,JJ,TBTB,CC,HH,2B2B,3B3B,HRHR,CICI,BBBB,PP,BRBR,ARAR,PROPRO,OBPOBP,SLGSLG,OPSOPS
Francisco HernandezLF,Algodoneros,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
Jose LavagninoC,Diablos Rojos,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2
Angel Camacho2B,Rieleros,3,4,1,3,1,0,1,3,0,0,0,0,0.75,0.75,1.75,2.5
Nick Senzel3B,Tecos,6,22,7,13,3,0,3,10,4,1,0,0,0.59,0.65,1.14,1.79
Bobby BradleyDH,Saraperos,1,4,2,2,1,0,1,3,0,0,0,0,0.5,0.4,1.5,1.9
Jhon NuÃ±ezC,Bravos,5,16,2,8,0,0,0,2,2,5,0,0,0.5,0.58,0.5,1.08
Heber VillalobosC,Guerreros,4,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1
Gilberto VizcarraC,Dorados,15,32,6,16,2,0,0,9,7,6,1,0,0.5,0.58,0.56,1.14
Carlos Sepulveda2B,Diablos Rojos,22,77,28,36,8,2,2,15,13,14,2,0,0.47,0.55,0.7,1.25
J.P. MartÃ­nezCF,Saraperos,8,30,11,14,2,0,3,9,7,4,5,0,0.47,0.58,0.83,1.41
Alen Hanson2B,Conspiradores,23,85,23,33,4,2,7,20,18,18,2,1,0.39,0.5,0.73,1.23
Roy MoralesC,Olmecas,18,67,7,26,5,0,0,11,8,11,0,0,0.39,0.47,0.46,0.93
Henry RamosCF,Leones,24,83,15,32,3,0,6,20,16,17,0,1,0.39,0.48,0.64,1.12
Jared CarrCF,Rieleros,16,65,16,25,3,1,0,6,12,11,4,2,0.39,0.48,0.46,0.94
Phillip ErvinLF,Pericos,25,86,17,33,9,1,6,30,15,24,1,0,0.38,0.49,0.72,1.21
Yadiel HernandezLF,Tecos,26,86,26,33,4,0,11,31,18,14,1,0,0.38,0.49,0.81,1.3
Connor Hollis2B,Piratas,23,85,23,32,2,0,3,16,13,5,5,2,0.38,0.47,0.51,0.98
Carlos PÃ©rezC,Rieleros,27,107,22,40,7,1,4,21,8,10,2,0,0.37,0.42,0.57,0.99
Yadir DrakeRF,Leones,28,105,22,39,5,0,5,19,15,16,2,1,0.37,0.46,0.56,1.02
Gabriel Noriega3B,Toros,25,89,10,33,6,0,0,6,4,15,0,2,0.37,0.4,0.44,0.84
Orlando MartinezLF,Rieleros,27,108,27,40,12,0,7,27,9,19,1,3,0.37,0.42,0.68,1.1
Francisco MejÃ­aC,Diablos Rojos,21,84,21,31,8,1,3,22,2,4,1,0,0.37,0.39,0.6,0.99
Luke Voit1B,Tigres,25,95,27,35,5,0,10,22,17,27,0,0,0.37,0.48,0.74,1.22
Allen CÃ³rdobaCF,Charros,28,101,27,37,5,0,0,8,14,13,18,4,0.37,0.48,0.42,0.89
Donny SandsC,Charros,22,71,8,26,5,0,3,25,3,18,2,2,0.37,0.39,0.56,0.95
Kelvin GutiÃ©rrez3B,Conspiradores,26,102,19,37,10,0,6,23,7,20,1,0,0.36,0.41,0.64,1.05
JosÃ© Peraza2B,Saraperos,21,91,14,33,9,1,2,22,1,3,0,0,0.36,0.38,0.55,0.93
